batch_size = 300
bias = True
clear_checkpoint = True
clip_grad = 0
cuda = 1
device = cuda:0
dtype = float64
lr = 0.0005
max_step = 1000
n_in = 68
n_out = 1
net_depth = 9
net_width = (100, 200, 200, 100, 100, 50, 21)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd9_nw-100-200-200-100-100-50-21_bias/outwithout3
out_infix = without3
print_step = 5
save_step = 10
seed = 64528716
tolerance = 1e-05

init_time = 0.000
Training...
step = 0, loss = 2.0946649, r2_train = 0.19015554, r2_test = 0.19011651, train_time = 16.574, used_time = 16.731
step = 5, loss = 1.2498434, r2_train = 0.15396626, r2_test = 0.15347536, train_time = 14.336, used_time = 88.598
step = 10, loss = 1.0773134, r2_train = 0.14517206, r2_test = 0.14545352, train_time = 15.759, used_time = 167.553
step = 15, loss = 0.92695025, r2_train = 0.14745575, r2_test = 0.14738566, train_time = 13.933, used_time = 237.406
step = 20, loss = 0.86304719, r2_train = 0.1481, r2_test = 0.14734198, train_time = 16.172, used_time = 318.425
step = 25, loss = 0.8236841, r2_train = 0.14460421, r2_test = 0.1446112, train_time = 15.588, used_time = 396.552
step = 30, loss = 0.79232137, r2_train = 0.1283592, r2_test = 0.12849253, train_time = 15.348, used_time = 473.447
step = 35, loss = 0.77205198, r2_train = 0.12424027, r2_test = 0.12428963, train_time = 16.160, used_time = 554.434
step = 40, loss = 0.73785306, r2_train = 0.13028021, r2_test = 0.13012752, train_time = 13.921, used_time = 624.193
step = 45, loss = 0.71383256, r2_train = 0.11461245, r2_test = 0.11525511, train_time = 15.236, used_time = 700.558
step = 50, loss = 0.70272337, r2_train = 0.12090235, r2_test = 0.12076579, train_time = 13.915, used_time = 770.282
step = 55, loss = 0.69673548, r2_train = 0.14244159, r2_test = 0.14276261, train_time = 14.000, used_time = 840.463
step = 60, loss = 0.66897523, r2_train = 0.10321992, r2_test = 0.10355305, train_time = 14.612, used_time = 913.674
step = 65, loss = 0.64358035, r2_train = 0.1086496, r2_test = 0.1090888, train_time = 13.956, used_time = 983.641
step = 70, loss = 0.6520554, r2_train = 0.12517344, r2_test = 0.12515867, train_time = 14.659, used_time = 1057.086
step = 75, loss = 0.63112339, r2_train = 0.10869814, r2_test = 0.10923502, train_time = 14.838, used_time = 1131.458
step = 80, loss = 0.61211843, r2_train = 0.11808171, r2_test = 0.11865212, train_time = 15.790, used_time = 1210.569
step = 85, loss = 0.60263763, r2_train = 0.10754817, r2_test = 0.10845225, train_time = 16.554, used_time = 1293.523
